Cluster,CellType
C7,Pro_NSC
C21,KO_Astro
C22,KO_Astro
C23,KO_Astro
C25,KO_Astro
C9,Astro
C10,Astro
C11,Astro
C12,Astro
C16,NSC
C17,NSC
C18,NSC
C19,NSC
C1,Oligos
C2,Oligos
C3,Oligos
C13,Dediff_Astro
C14,Dediff_Astro
C15,Dediff_Astro
C20,Dediff_Astro
C24,Dediff_Astro
C4,Neurons
C5,Neurons
C6,Neurons
C8,Neurons
